OBJECTID,MODO,CODIGOITINERARIO,CODIGOGESTIONLINEA,NUMEROLINEAUSUARIO,SENTIDO,TIPOITINERARIO,CODIGOESTACION,CODIGOPOSTE,CODIGOANDEN,NUMEROORDEN,IDENTIFICADORTIPOPARADA,TIPOPARADA,DENOMINACION,CODIGOPROVINCIA,CODIGOMUNICIPIO,MUNICIPIO,CORONATARIFARIA,DIRECCION,FECHAALTA,FECHAINICIO,FECHAFIN,LONGITUDTRAMOANTERIOR,VELOCIDADTRAMOANTERIOR,MODOLINEA,IDFINTERCAMBIADOR,CODPROV_LINEA,CODMUN_LINEA,IDFTRAMO,CODIGOOBSERVACION,CODIGOSUBLINEA,DENOMINACION_SAE,IDFLINEA,IDFITINERARIO,IDFESTACION,IDFPOSTE,IDFANDEN,CODIGOCTMESTACIONREDMETRO
9901,6,364248,155,155,2,1,5289,*,,17,TI,I,AV.DEL EURO-DURO,28,079,MADRID,A,Avda del Euro N 19,20190927,20191001,,307.126,,6,_,,,6__155_____2_IT_1_6_5289_*__TI_I_17,,,,6__155___,6__155_____2_IT_1,6_5289,6_5289_*,6_5289_,
9902,6,364248,155,155,2,1,5290,*,,18,TI,I,AV.DEL EURO-PESO HISPANO,28,079,MADRID,A,Avda del Euro SN SN,20190927,20191001,,227.832,,6,_,,,6__155_____2_IT_1_6_5290_*__TI_I_18,,,,6__155___,6__155_____2_IT_1,6_5290,6_5290_*,6_5290_,
9903,6,364247,155,155,1,1,5291,*,,9,TI,I,AV.DEL EURO-AGUACATE,28,079,MADRID,A,Avda del Euro SN SN,20190927,20191001,,370.5057,13.36,6,_,,,6__155_____1_IT_1_6_5291_*__TI_I_9,,,,6__155___,6__155_____1_IT_1,6_5291,6_5291_*,6_5291_,
9904,6,364248,155,155,2,1,5292,*,,19,TI,I,AV.DEL EURO-AGUACATE,28,079,MADRID,A,Avda del Euro N 20,20190927,20191001,,210.078,,6,_,,,6__155_____2_IT_1_6_5292_*__TI_I_19,,,,6__155___,6__155_____2_IT_1,6_5292,6_5292_*,6_5292_,
9905,6,364248,155,155,2,1,5294,*,,20,TI,I,AV.DEL EURO-OBOLO,28,079,MADRID,A,Avda del Euro SN SN,20190927,20191001,,226.033,,6,_,,,6__155_____2_IT_1_6_5294_*__TI_I_20,,,,6__155___,6__155_____2_IT_1,6_5294,6_5294_*,6_5294_,
9906,6,364248,155,155,2,1,5296,*,,21,TI,I,AVDA.DEL EURO-PEPION,28,079,MADRID,A,Avda del Euro N 6,20190927,20191001,,304.154,,6,_,,,6__155_____2_IT_1_6_5296_*__TI_I_21,,,,6__155___,6__155_____2_IT_1,6_5296,6_5296_*,6_5296_,
9907,6,365984,020,20,1,1,5400,*,,27,TI,I,"ARROYO FONTARRON, 301",28,079,MADRID,A,Calle del Arroyo Fontarrón SN SN,20201129,20201031,,235.817,13.136,6,_,,,6__20_____1_IT_1_6_5400_*__TI_I_27,,,,6__20___,6__20_____1_IT_1,6_5400,6_5400_*,6_5400_,
9908,6,343317,524,N24,1,1,5610,*,,42,TI,I,VALCARLOS-TIERRA DE MELIDE,28,079,MADRID,A,Calle de Valcarlos N 44,20101102,20100925,,485.2104,0,6,_,,,6_N_524_____1_IT_1_6_5610_*__TI_I_42,,,,6_N_524___,6_N_524_____1_IT_1,6_5610,6_5610_*,6_5610_,
9909,6,358867,176,176,1,1,5611,*,,20,TI,I,VALCARLOS-TIERRA DE MELIDE,28,079,MADRID,A,Calle de Valcarlos SN SN,20151013,20170313,,241.0436,0,6,_,,,6__176_____1_IT_1_6_5611_*__TI_I_20,,,,6__176___,6__176_____1_IT_1,6_5611,6_5611_*,6_5611_,
9910,6,283890,068,C1,2,1,5318,*,,11,TI,I,PRINCESA-PZA.ESPAÑA,28,079,MADRID,A,Calle de la Princesa N 2,19991221,19861001,,548.5774,11.726,6,92_64,,,6__68_____2_IT_1_6_5318_*__TI_I_11,,,,6__68___,6__68_____2_IT_1,6_5318,6_5318_*,6_5318_,
9911,6,341031,044,44,1,1,5318,*,,4,TI,I,PRINCESA-PZA.ESPAÑA,28,079,MADRID,A,Calle de la Princesa N 2,20090921,20090807,,206.293,10.505,6,92_64,,,6__44_____1_IT_1_6_5318_*__TI_I_4,,,,6__44___,6__44_____1_IT_1,6_5318,6_5318_*,6_5318_,
9912,6,340863,521,N21,1,1,5318,*,,7,TI,I,PRINCESA-PZA.ESPAÑA,28,079,MADRID,A,Calle de la Princesa N 2,20090714,20090518,,206.293,14.981,6,92_64,,,6_N_521_____1_IT_1_6_5318_*__TI_I_7,,,,6_N_521___,6_N_521_____1_IT_1,6_5318,6_5318_*,6_5318_,
9913,6,348743,002,2,1,1,5318,*,,17,TI,I,PRINCESA-PZA.ESPAÑA,28,079,MADRID,A,Calle de la Princesa N 2,20121102,20121015,,206.2732,10.084,6,92_64,,,6__2_A____1_IT_1_6_5318_*__TI_I_17,,,,6__2_A__,6__2_A____1_IT_1,6_5318,6_5318_*,6_5318_,
9914,6,353525,001,1,2,1,5318,*,,22,TI,I,PRINCESA-PZA.ESPAÑA,28,079,MADRID,A,Calle de la Princesa N 2,20141124,20141121,,206.293,9.984,6,92_64,,,6__1_____2_IT_1_6_5318_*__TI_I_22,,,,6__1___,6__1_____2_IT_1,6_5318,6_5318_*,6_5318_,
9915,6,364177,138,138,2,1,5318,*,,33,TI,I,PRINCESA-PZA.ESPAÑA,28,079,MADRID,A,Calle de la Princesa N 2,20190911,20190923,,548.5708,11.996,6,92_64,,,6__138____-_2_IT_1_6_5318_*__TI_I_33,-,-,,6__138___,6__138____-_2_IT_1,6_5318,6_5318_*,6_5318_,
9916,6,366199,361,001,1,1,5318,*,,13,TI,I,PRINCESA-PZA.ESPAÑA,28,079,MADRID,A,Calle de la Princesa N 2,20201230,20210101,,206.293,0,6,92_64,,,6__361_____1_IT_1_6_5318_*__TI_I_13,,636101,,6__361___,6__361____636101_1_IT_1,6_5318,6_5318_*,6_5318_,
9917,6,367463,133,133,1,1,5318,*,,4,TI,I,PRINCESA-PZA.ESPAÑA,28,079,MADRID,A,Calle de la Princesa N 2,20211112,20211118,,206.293,18.015,6,92_64,,,6__133_____1_IT_1_6_5318_*__TI_I_4,,,,6__133___,6__133_____1_IT_1,6_5318,6_5318_*,6_5318_,
9918,6,370752,529,NC1,2,1,5318,*,,11,TI,I,PRINCESA-PZA.ESPAÑA,28,079,MADRID,A,Calle de la Princesa N 2,20231129,20231129,,548.5774,11.726,6,92_64,,,6_N_529_____2_IT_1_6_5318_*__TI_I_11,,652902,,6_N_529___,6_N_529____652902_2_IT_1,6_5318,6_5318_*,6_5318_,
