codigo_parada,longitud,latitud
502,-3.66791660185593,40.4758459387771
503,-3.66582985842464,40.474794900805
504,-3.66590294865144,40.4750287134609
505,-3.66293107263637,40.4739376654337
506,-3.66316806655997,40.4740444157985
507,-3.6607884220702,40.4755985541242
508,-3.65882007512723,40.4769971512699
509,-3.65937249981808,40.4792012014537
510,-3.66114449057599,40.4782271377917
511,-3.66238895801023,40.4764002149305
512,-3.66127130154062,40.47551471655299
513,-3.66846383457014,40.4751130547413
514,-3.67745597324922,40.4541869935126
515,-3.67718193279011,40.453909317842
516,-3.67764040568741,40.4524381698761
517,-3.67742833988117,40.4514304034493
518,-3.69511855146767,40.4285147459395
520,-3.71690203527751,40.4355125614956
521,-3.7134525053594,40.435367201822
522,-3.70904049119233,40.4351420514227
523,-3.70491145665774,40.43491501003069
524,-3.70286296806589,40.4342157508152
525,-3.6997448641147,40.434685086749795
526,-3.69982972265329,40.4349097992447
527,-3.69605794266702,40.4350226240769
528,-3.69525901953917,40.4352976942766
529,-3.69054126311367,40.4351457446768
530,-3.69002310722513,40.435387572459504
532,-3.68731411525436,40.4378045860482
533,-3.68665209599775,40.4380337389892
534,-3.683866588916871,40.4385186919547
535,-3.67683533108994,40.4606635793271
536,-3.68329450742494,40.4460806260756
537,-3.68802622641627,40.435944500124606
538,-3.70312296933865,40.434133091158294
540,-3.70593916811244,40.433971811592
541,-3.70924297346278,40.4342128831993
542,-3.71291180347445,40.4344065682733
543,-3.71702884894142,40.4346153799561
544,-3.70688514013632,40.4139299618634
545,-3.7083694204266,40.4115965583065
546,-3.70793617996001,40.4118694790403
547,-3.71050421569425,40.4088942791093
548,-3.70972774071859,40.4096242690145
549,-3.71269008095662,40.4066511070505
550,-3.71563286307942,40.4049527704638
551,-3.71548691990537,40.4047689866311
552,-3.71988824464958,40.404277743326
553,-3.71987502622474,40.4040390855543
554,-3.72464639606415,40.4038922087533
555,-3.73088124723997,40.4017629246485
556,-3.73009309019138,40.4018940232207
557,-3.73547431703291,40.3982383302884
558,-3.73491008885695,40.3984356071861
559,-3.73755406256155,40.3966034720849
560,-3.73757340837561,40.3962159592594
561,-3.73906511577123,40.3945938264804
562,-3.75432515298005,40.3621438104712
563,-3.74017459019104,40.3937849337127
564,-3.74265745199809,40.3917960521692
565,-3.741736954289,40.3922704232039
566,-3.74413744693918,40.3898315837336
569,-3.7005311654729,40.4589010151048
570,-3.75370098756938,40.3852471812636
