linea,stopNum,longitude,latitude,distance
131,1963,-3.71329605376851,40.373557031989,6599
131,1957,-3.71248059192215,40.3721836579804,6813
131,1958,-3.71245528077945,40.3701612690227,7037
131,1959,-3.71245728570864,40.3687062853849,7199
131,292,-3.71242941856285,40.3668956251239,7401
131,5465,-3.71523674497556,40.3604052726485,8251
131,4626,-3.71366042187796,40.3563158425203,8731
131,3215,-3.71133430633633,40.3538751615276,9090
131,4237,-3.70831544420357,40.3525287759388,9405
131,3217,-3.70616204751647,40.3501049505584,9730
131,1195,-3.70664769715303,40.3471289715274,10097
131,1196,-3.70875154649471,40.3467557531621,10292
132,1329,-3.71774956127068,40.433264067606004,0
132,3688,-3.718711698353701,40.4343166579269,174
132,4021,-3.71809084847928,40.4358069963134,456
132,743,-3.71762765188811,40.4386837404926,778
132,4175,-3.71836890658773,40.4389854497989,994
132,1684,-3.72615764512202,40.440387310444294,1917
132,1686,-3.72653351318958,40.4413489149445,2106
132,1687,-3.72697011973858,40.443571395624694,2313
132,1689,-3.727299178213451,40.4456594145948,2546
132,1691,-3.72772278701096,40.4477648555179,2782
132,3273,-3.72586721665467,40.448479205188896,3015
132,3276,-3.72185058326711,40.4458151358808,3543
132,3277,-3.7178434104864,40.4470652733377,3961
132,3278,-3.71724920499121,40.4493076894352,4354
132,5140,-3.72079353897085,40.4488757684429,4659
132,3281,-3.71944521002462,40.4511364010808,5027
132,3283,-3.7166640236287,40.4528563481728,5345
132,3285,-3.7151588323679,40.4540368232674,5536
132,1674,-3.71193275725039,40.4567548954113,5956
132,1577,-3.71216879816262,40.4578885745178,6181
132,1643,-3.71228670214677,40.4601220743385,6510
132,1645,-3.71339480549551,40.4632053273518,6886
132,1647,-3.71574105791874,40.4633169707621,7092
132,1649,-3.71836560649853,40.4627691855165,7322
132,51026,-3.71973093394276,40.4628057499965,7481
132,1653,-3.71915859246051,40.4659309122413,7872
132,1655,-3.719524864535651,40.4675097084586,8063
132,1657,-3.71951958463873,40.4702664814944,8382
132,1516,-3.72016660352084,40.472379561592895,8665
132,1514,-3.72067112812711,40.4740565905214,8855
132,1512,-3.71828628333061,40.475274107454595,9145
132,1510,-3.71639532037983,40.4756867235622,9314
132,1786,-3.71463890591815,40.477179551525495,9615
132,1364,-3.71149515178612,40.4778790920588,9893
132,1366,-3.70870623340983,40.4784592589866,10138
132,1368,-3.70480093455562,40.479257871163796,10481
132,1370,-3.70275332562806,40.480225267696596,10722
132,1372,-3.70209462885438,40.4826166339594,11076
132,1373,-3.69998647672242,40.483377142802496,11275
132,3288,-3.69711167297867,40.481349460913805,11657
132,3290,-3.69434721337696,40.4816093165939,11897
132,1605,-3.69137017540422,40.480951463572,12165
132,1602,-3.68898905847552,40.4806953910896,12430
127,2481,-3.7050744389844,40.447080675456,0
127,1418,-3.70769039332613,40.4473124627216,225
127,1666,-3.70889348376799,40.449233026599096,544
127,1668,-3.70940322355,40.4506082794802,708
127,1670,-3.70977629821871,40.4524438258245,926
127,1672,-3.71249691877967,40.4538775607744,1261
127,1674,-3.71193275725039,40.4567548954113,1617
127,1577,-3.71216879816262,40.4578885745178,1843
127,1643,-3.71228670214677,40.4601220743385,2171
127,1645,-3.71339480549551,40.4632053273518,2548
127,1647,-3.71574105791874,40.4633169707621,2753
127,1649,-3.71836560649853,40.4627691855165,2984
127,51026,-3.71973093394276,40.4628057499965,3143
127,1653,-3.71915859246051,40.4659309122413,3533
127,1655,-3.719524864535651,40.4675097084586,3725
127,1657,-3.71951958463873,40.4702664814944,4044
127,1516,-3.72016660352084,40.472379561592895,4326
127,1514,-3.72067112812711,40.4740565905214,4516
127,1663,-3.72126511974096,40.4762375601211,4775
127,1624,-3.72152540972632,40.4781007889046,5057
127,1622,-3.71955673505255,40.4790454685273,5254
127,1620,-3.71639903465831,40.4804839620761,5566
127,1359,-3.71453002550862,40.481522532931905,5772
127,1618,-3.71174538073731,40.482309952349404,6027
127,1616,-3.70922145440408,40.4828614752402,6248
127,1614,-3.70746608201648,40.4838181550502,6437
127,1665,-3.70675559822205,40.4837864593392,6535
521,3729,-3.69340327866831,40.4191060863796,0
521,5137,-3.69943543541249,40.4198716141839,711
521,4094,-3.70197160586144,40.420257169995104,929
521,9,-3.70439670933612,40.420445146955295,1136
521,168,-3.70761018385723,40.421587720039405,1460
521,283,-3.71048971299063,40.423403425362906,1776
521,1750,-3.71180841705806,40.4247917256269,1974
521,172,-3.71265807696695,40.425993708654396,2126
521,736,-3.71577398713348,40.4302717913121,2672
521,738,-3.71718075491725,40.432263087459106,2923
521,3688,-3.718711698353701,40.4343166579269,3187
521,4021,-3.71809084847928,40.4358069963134,3469
521,803,-3.71672978416053,40.4397703822539,3966
521,2392,-3.71190538886588,40.4429623051575,4508
521,2394,-3.7102914610287,40.4464767165242,4940
521,1666,-3.70889348376799,40.449233026599096,5455
521,1670,-3.70977629821871,40.4524438258245,5838
521,1672,-3.71249691877967,40.4538775607744,6172
521,1674,-3.71193275725039,40.4567548954113,6529
521,1577,-3.71216879816262,40.4578885745178,6754
521,1643,-3.71228670214677,40.4601220743385,7083
521,1645,-3.71339480549551,40.4632053273518,7459
521,1647,-3.71574105791874,40.4633169707621,7665
521,1649,-3.71836560649853,40.4627691855165,7895
521,1653,-3.71915859246051,40.4659309122413,8445
521,1655,-3.719524864535651,40.4675097084586,8636
521,1657,-3.71951958463873,40.4702664814944,8955
521,1516,-3.72016660352084,40.472379561592895,9238
521,1514,-3.72067112812711,40.4740565905214,9428
521,1624,-3.72152540972632,40.4781007889046,9969
521,1622,-3.71955673505255,40.4790454685273,10166
521,1620,-3.71639903465831,40.4804839620761,10478
521,1361,-3.716979844518,40.48191729147781,10660
521,1595,-3.71477640983239,40.4836200937514,11102
521,1564,-3.71765616851752,40.4870256690422,11615
521,4735,-3.7222108773293,40.4870333758275,12001
