codigo_estacion,codigo_parada,nombre_parada,linea,direccion_parada,cp_parada,distrito_parada
1258,328,Pº ACACIAS-GTA.PIRAMIDES,36,Paseo de las Acacias 69,28005,2
1258,328,Pº ACACIAS-GTA.PIRAMIDES,62,Paseo de las Acacias 69,28005,2
1258,328,Pº ACACIAS-GTA.PIRAMIDES,116,Paseo de las Acacias 69,28005,2
1258,328,Pº ACACIAS-GTA.PIRAMIDES,118,Paseo de las Acacias 69,28005,2
1258,328,Pº ACACIAS-GTA.PIRAMIDES,119,Paseo de las Acacias 69,28005,2
1258,328,Pº ACACIAS-GTA.PIRAMIDES,N12,Paseo de las Acacias 69,28005,2
1258,328,Pº ACACIAS-GTA.PIRAMIDES,N15,Paseo de las Acacias 69,28005,2
6110,5507,TOLEDO-GTA.PIRAMIDES,18,Calle de Toledo 178,28005,2
791,917,TOLEDO-GTA.PIRAMIDES,18,Calle de Toledo 187,28005,2
791,917,TOLEDO-GTA.PIRAMIDES,23,Calle de Toledo 187,28005,2
791,917,TOLEDO-GTA.PIRAMIDES,35,Calle de Toledo 187,28005,2
791,917,TOLEDO-GTA.PIRAMIDES,N26,Calle de Toledo 187,28005,2
759,916,TOLEDO-GTA.PIRAMIDES,23,Calle de Toledo 180,28005,2
759,916,TOLEDO-GTA.PIRAMIDES,35,Calle de Toledo 180,28005,2
759,916,TOLEDO-GTA.PIRAMIDES,N26,Calle de Toledo 180,28005,2
1464,569,BRAVO MURILLO-MARIA ZAYAS,66,Calle de Bravo Murillo 243,28020,6
1464,569,BRAVO MURILLO-MARIA ZAYAS,124,Calle de Bravo Murillo 243,28020,6
1464,569,BRAVO MURILLO-MARIA ZAYAS,N23,Calle de Bravo Murillo 243,28020,6
1259,380,Pº ACACIAS-DR.VALLEJO NAJERA,34,Paseo de las Acacias 49,28005,2
1259,380,Pº ACACIAS-DR.VALLEJO NAJERA,36,Paseo de las Acacias 49,28005,2
1259,380,Pº ACACIAS-DR.VALLEJO NAJERA,62,Paseo de las Acacias 49,28005,2
1259,380,Pº ACACIAS-DR.VALLEJO NAJERA,116,Paseo de las Acacias 49,28005,2
1259,380,Pº ACACIAS-DR.VALLEJO NAJERA,118,Paseo de las Acacias 49,28005,2
1259,380,Pº ACACIAS-DR.VALLEJO NAJERA,119,Paseo de las Acacias 49,28005,2
1361,4669,Pº ACACIAS-DR.VALLEJO NAJERA,34,Paseo de las Acacias 40,28005,2
1361,4669,Pº ACACIAS-DR.VALLEJO NAJERA,36,Paseo de las Acacias 40,28005,2
1361,4669,Pº ACACIAS-DR.VALLEJO NAJERA,62,Paseo de las Acacias 40,28005,2
