,codigo_estacion,codigo_parada,nombre_parada,linea,direccion_parada,cp_parada,distrito_parada,longitud,latitud
1229,3247,388,MOSCATELAR-PARMA,122,Calle del Moscatelar 11,28043,16,-3.64925509677768,40.4572944919845
1230,3248,386,ULISES-ASURA,120,Calle de Ulises 17,28043,16,-3.65368858465166,40.4572470266825
1231,3248,386,ULISES-ASURA,122,Calle de Ulises 17,28043,16,-3.65368858465166,40.4572470266825
1232,3249,384,ULISES-ARTURO SORIA,120,Calle de Ulises 3,28043,15,-3.65595842570599,40.4562386969856
1233,3249,384,ULISES-ARTURO SORIA,122,Calle de Ulises 3,28043,15,-3.65595842570599,40.4562386969856
1234,3255,406,CAMPO NACIONES-GTA.J.DE BORBON,112,Avda de la Capital de España Madrid 3,28042,21,-3.61598252810254,40.4615122854963
1235,3255,406,CAMPO NACIONES-GTA.J.DE BORBON,122,Avda de la Capital de España Madrid 3,28042,21,-3.61598252810254,40.4615122854963
1236,3257,3584,AV.MACHUPICHU-FLORENCIO CASTILLO,112,Avda de Machu Picchu 39,28043,16,-3.62740862401205,40.4596401379578
1237,3257,3584,AV.MACHUPICHU-FLORENCIO CASTILLO,122,Avda de Machu Picchu 39,28043,16,-3.62740862401205,40.4596401379578
1238,3257,3584,AV.MACHUPICHU-FLORENCIO CASTILLO,153,Avda de Machu Picchu 39,28043,16,-3.62740862401205,40.4596401379578
1239,3258,3586,AV.MACHUPICHU-AV.PAPA NEGRO,112,Avda de Machupichu 15,28043,16,-3.62497850481323,40.4576848120512
1240,3258,3586,AV.MACHUPICHU-AV.PAPA NEGRO,122,Avda de Machupichu 15,28043,16,-3.62497850481323,40.4576848120512
1241,3258,3586,AV.MACHUPICHU-AV.PAPA NEGRO,153,Avda de Machupichu 15,28043,16,-3.62497850481323,40.4576848120512
1242,3259,3585,AV.MACHUPICHU-FLORENCIO CASTILLO,112,Avda de Machu Picchu 34,28043,16,-3.62752637820523,40.459936796804
1243,3259,3585,AV.MACHUPICHU-FLORENCIO CASTILLO,122,Avda de Machu Picchu 34,28043,16,-3.62752637820523,40.459936796804
1244,3259,3585,AV.MACHUPICHU-FLORENCIO CASTILLO,153,Avda de Machu Picchu 34,28043,16,-3.62752637820523,40.459936796804
1245,3263,3304,AV.PABLO NERUDA-TRISTANA,136,Avda de Pablo Neruda 118,28018,13,-3.65362657353755,40.3816569340542
1246,3263,3304,AV.PABLO NERUDA-TRISTANA,144,Avda de Pablo Neruda 118,28018,13,-3.65362657353755,40.3816569340542
1247,3263,3304,AV.PABLO NERUDA-TRISTANA,N11,Avda de Pablo Neruda 118,28018,13,-3.65362657353755,40.3816569340542
1248,3264,3307,AV.PABLO NERUDA-CENICIENTA,136,Avda de Pablo Neruda 83,28018,13,-3.65675813420101,40.3813509309277
1249,3264,3307,AV.PABLO NERUDA-CENICIENTA,144,Avda de Pablo Neruda 83,28018,13,-3.65675813420101,40.3813509309277
1250,3264,3307,AV.PABLO NERUDA-CENICIENTA,N11,Avda de Pablo Neruda 83,28018,13,-3.65675813420101,40.3813509309277
1251,3266,975,ASCAO-LUIS RUIZ,28,Calle de Ascao 51,28017,15,-3.63834560571324,40.4314902570079
1252,3266,975,ASCAO-LUIS RUIZ,N6,Calle de Ascao 51,28017,15,-3.63834560571324,40.4314902570079
1253,3270,967,FCO.VILLAESPESA-HNOS.GOMEZ,28,Calle de Francisco Villaespesa 7,28017,15,-3.64889622467652,40.4288190041006
1254,3270,967,FCO.VILLAESPESA-HNOS.GOMEZ,113,Calle de Francisco Villaespesa 7,28017,15,-3.64889622467652,40.4288190041006
1255,3270,967,FCO.VILLAESPESA-HNOS.GOMEZ,N6,Calle de Francisco Villaespesa 7,28017,15,-3.64889622467652,40.4288190041006
1256,3143,3366,AV.PLANETARIO-PARQUE E.TIERNO GALVAN,148,Avda del Planetario 12,28045,2,-3.68254446340561,40.3939992758215
1257,3143,3366,AV.PLANETARIO-PARQUE E.TIERNO GALVAN,156,Avda del Planetario 12,28045,2,-3.68254446340561,40.3939992758215
1258,3143,3366,AV.PLANETARIO-PARQUE E.TIERNO GALVAN,N13,Avda del Planetario 12,28045,2,-3.68254446340561,40.3939992758215
1259,3145,4101,AV.PLANETARIO-BRONCE,148,Avda del Planetario 22,28045,2,-3.68723807866594,40.3894084203163
1260,3145,4101,AV.PLANETARIO-BRONCE,156,Avda del Planetario 22,28045,2,-3.68723807866594,40.3894084203163
1261,3346,2555,ALHAMBRA-GTA.LOS CARMENES,55,Calle de la Alhambra 102,28047,10,-3.74380445367004,40.3959869137222
1262,3346,2555,ALHAMBRA-GTA.LOS CARMENES,119,Calle de la Alhambra 102,28047,10,-3.74380445367004,40.3959869137222
1263,3347,2637,CTRA.BOADILLA MONTE-GALICIA,65,Ctra de Boadilla del Monte 32,28024,10,-3.77316055364728,40.3993531975026
1264,3348,3167,CONCEJAL FCO.J.MARTIN-HURTUMPASCUAL,119,Calle del Concejal Francisco José Jiménez Martín SN,28047,10,-3.74302905205964,40.40092885421
